_id,video_id,video_title,video_description,video_tag,video_length,video_likes,channel_title,__v
67543aa92442a0b834eca2df,a9vL6BsgkPg,10 Mins INTENSE Chest Workout | BEGINNERS TO ADVANCED,"Another dumbell workout for you guys, this time a chest workout! If you don't have dumbells, feel free to DIY dumbells for now with ...",가슴 홈트레이닝 | Chest Home Training,625,96070,Chloe Ting,0
67543aa92442a0b834eca2e0,wSldyvrs7uc,Get RIPPED CHEST MUSCLES At Home With These Exercises!#home gym#chest workout#,Get RIPPED CHEST MUSCLES At Home With These Exercises!#home gym#chest workout# home gym gym chest workout home ...,가슴 홈트레이닝 | Chest Home Training,21,26,Argo fitness ,0
67543aa92442a0b834eca2e1,BLeiV_xkSbc,매운탕을 만들어보자! 홈트레이닝하는 남자! Hometraining and driking! #mukbang #fitness #홈트레이닝 #먹방  #가슴운동,날씨가 추우지네요~ 매운탕에 소주 한잔 하시죠~!! 운동이나 먹방이나 아직 여러모로 미숙한 점이 많습니다... 계속 보완해서 좋은 모습 ...,가슴 홈트레이닝 | Chest Home Training,486,7,바디쉡 bodychef,0
67543aa92442a0b834eca2e2,Kzlk1hQUZl0,Under body workouts for home  /chest / abs /shoulders/ #fitness #shorts #gym #upperbody #2024,Under body workouts for home /chest / abs /shoulders/ #fitness #shorts #gym #upperbody #2024 #jonbody #666 #666body ...,가슴 홈트레이닝 | Chest Home Training,10,27,Jon 666 body,0
67543aa92442a0b834eca2e3,LzzKtPIw7b8,Chest Workout at Home (NO BENCH!) Resistance Bands Chest Exercises,TOPIC: At Home Chest Workout Using Resistance Bands. When you say Chest Workout the bench press is the first chest exercise ...,가슴 홈트레이닝 | Chest Home Training,253,6965,James Grage,0
67543aa92442a0b834eca2e4,UR_Tv7ETVDE,"Chest Training, effective Chest movements   #workout#chestworkout #gym#chestday#fitness#motivation",CHEST WORKOUT CHEST EXERCISES DICLINE CHEST PREAS HIGH CABLE CROSSOVER DICLINE CABLE FLY DIPS ...,가슴 홈트레이닝 | Chest Home Training,12,20,WORKOUTS,0
67543aa92442a0b834eca2e5,jxJXbyTkCl0,The Ultimate Chest Workout (This Will Grow Your Chest Fast!) #fitness #shorts #motivation #ytshort,FitnessJourney #StrengthTraining #WorkoutMotivation #HomeWorkout #GymLife #FitnessGoals #Bodybuilding ...,가슴 홈트레이닝 | Chest Home Training,7,20, Home Workout 2025,0
67543aa92442a0b834eca2e6,ba8tr1NzwXU,The Perfect Push Up!,"Want to learn how to do a perfect Push-up in less than 1 minute? From scapula position, to hand distance, to muscles stabilization ...",가슴 홈트레이닝 | Chest Home Training,49,918539,SaturnoMovement,0
67543aa92442a0b834eca2e7,SNwYybg8_ag,[더 바디핏] EP.18-4 HOME TRAINING-04 가슴 모으기 운동 [안소영/김현정],"홈트 #써클링 #가슴운동 #다이어트 #스트레칭 확찐이들 다 모여! 살 빠지는 소도구 운동! 매일매일 새롭게! 데일리 홈 트레이닝 ""더 ...",가슴 홈트레이닝 | Chest Home Training,205,0,Berry TV (베리TV),0
67543aa92442a0b834eca2e8,eMeSWs_n1ik,Chest Workout At Home | Bodyweight Strength Training,Download My Workout App Exerprise FREE - https://bit.ly/2sFSPlH Custom Workout/Meal Plans Built Specifically For You HERE ...,가슴 홈트레이닝 | Chest Home Training,540,2272,Anabolic Aliens,0
67543aa92442a0b834eca2e9,mL1qJ0FvlLY,Chest Workout at Gym#chestworkout #chest #workout #gym #motivation #exercise #fitness #sports #dj,,가슴 홈트레이닝 | Chest Home Training,20,13,WORKOUTS,0
67543aa92442a0b834eca2ea,ne_d8oJAw78,운동 ?일차. 가슴 어깨 중량 횟수. 대흉근 삼각근. Home Training 홈트레이닝 홈트 신입 운동 방송,This stream is created with #PRISMLiveStudio.,가슴 홈트레이닝 | Chest Home Training,613,0,모닝맨 MorningMan,0
67543aa92442a0b834eca2eb,tzrXqZw3UkA,Barbell Bench Press | Paragon Training Methods,"Paragon Training Methods = fun and effective workouts you can do from home or at a gym to build muscle, achieve your goals, ...",가슴 홈트레이닝 | Chest Home Training,35,11,Paragon Training Methods,0
67543aa92442a0b834eca2ec,yQa2RUN1Ieg,We Tried A Full Body Workout Routine From 1902 #shorts #motivation #fitness #gym,FitnessJourney #StrengthTraining #WorkoutMotivation #HomeWorkout #GymLife #FitnessGoals #Bodybuilding ...,가슴 홈트레이닝 | Chest Home Training,7,157, Home Workout 2025,0
67543aa92442a0b834eca2ed,r9xd0Wkw38E,THE BEST BODYWEIGHT CHEST WORKOUT | At Home No Equipment | Diet &amp; Training Advice During Lockdown,One of The BEST Chest bodyweight home workout you will do .. for ALL fitness levels beginners & advance for both men and ...,가슴 홈트레이닝 | Chest Home Training,1294,10173,Obi Vincent,0
67543aa92442a0b834eca2ee,kPOVbZtZsyc,Chest workout at home 🏠🏋 | Get muscular chest | #shorts #gym #gymmotivation #gymlife #trending 🔥,Chest workout at home | Get muscular chest | #shorts #gym #gymmotivation #gymlife #trending.,가슴 홈트레이닝 | Chest Home Training,7,149,Fitness Boy,0
67543aa92442a0b834eca2ef,wYKAN9wSWlY,#pullups #hometraining #철봉 #홈트 #홈트레이닝 #풀업 #꾸준히,,가슴 홈트레이닝 | Chest Home Training,40,4,코릴라,0
67543aa92442a0b834eca2f0,HPjkkN5sh8M,"Ultimate Home Training - Chest, Back, Shoulders, Biceps, Triceps, Legs in ONE /MOTIVATION VIDEO","Quarantined, Don't know what to do? Workout using rubber bands. From Chest to legs, if there's a will, there's a way. Chest Biceps ...",가슴 홈트레이닝 | Chest Home Training,167,11,축구동자,0
67543aa92442a0b834eca2f1,hw8WIiAVCws,One Week Exercise Challenge For Everyone #fitness #shorts #trending #motivation,FitnessJourney #StrengthTraining #WorkoutMotivation #HomeWorkout #GymLife #FitnessGoals #Bodybuilding ...,가슴 홈트레이닝 | Chest Home Training,7,21, Home Workout 2025,0
67543aa92442a0b834eca2f2,PTM7EhJ9bOc,ABS WORKOUT!! #absworkout #홈트레이닝 #복근운동 #hometraining,,가슴 홈트레이닝 | Chest Home Training,18,86,찬브로 chanbro,0
67543aa92442a0b834eca2f3,t7C2EhF9sW4,"TRX로 가슴, 코어 동시에 단련하기(TRX training at home)",,가슴 홈트레이닝 | Chest Home Training,36,9,평발러너(Flat feet runner),0
67543aaa2442a0b834eca2f5,oq6rlPS98iQ,"맨몸 등 ,상체운동  [등운동 홈트레이닝/home training]",맨몸 등운동 #등운동 홈트레이닝 #hometraining ▷맨몸 등운동◁ 오늘의 운동!! “등”운동!! 엎드려서 하는 맨몸 등운동입니다.,등 홈트레이닝 | Back Home Training,689,10,김민준,0
